case,information,role,plant,arm,physical_status,hold,overrides,changed_commands,geometry_checks,geometry_rejections,numerical_rejections,first_exit_lower_s,first_exit_upper_s,min_separation_lower_m,min_separation_upper_m,sampled_minimum_m,control_effort_mps,decision_cpu_s,decision_wall_max_s,fault_packet_dispositions,ambiguous_intervals
offset_interior,ideal,ideal_main,hcw,original_gate,validated_containment,satisfied,0,0,300,0,0,,,29.185250605355822,29.18533487159805,29.185334871588623,1.5642666132972878,2.298467999999996,0.02669808396603912,{},1
offset_interior,ideal,ideal_main,nonlinear,controlled_in_band,validated_containment,satisfied,0,0,300,0,0,,,29.185250612571465,29.18533487882366,29.185334878815155,1.5642666255398532,1.3804629999999776,0.004975249990820885,{},1
offset_interior,ideal,ideal_main,nonlinear,controlled_union,validated_containment,satisfied,0,0,300,0,0,,,29.185250612571465,29.18533487882366,29.185334878815155,1.5642666255398532,1.4548029999999947,0.005378499976359308,{},1
offset_interior,ideal,ideal_main,nonlinear,no_gate,validated_containment,satisfied,0,0,0,0,0,,,29.185250612571465,29.18533487882366,29.185334878815155,1.5642666255398532,0.002849999999995134,1.8124934285879135e-05,{},1
offset_interior,ideal,ideal_main,nonlinear,original_gate,validated_containment,satisfied,0,0,300,0,0,,,29.185250612571465,29.18533487882366,29.185334878815155,1.5642666255398532,2.254139000000004,0.018004167010076344,{},1
outward_boundary,ideal,unrecoverable_control,hcw,controlled_in_band,validated_violation,satisfied,0,0,300,0,0,0.0,0.0001220703125,26.56769302266322,26.568046438685695,26.56804643868546,0.2930687804574878,1.4054510000000278,0.005471667042002082,{},1
outward_boundary,ideal,unrecoverable_control,hcw,controlled_union,validated_violation,satisfied,19,0,300,19,0,0.0,0.0001220703125,26.56769302266322,26.568046438685695,26.56804643868546,0.2930687804574878,1.4558039999999721,0.012546417070552707,{},1
outward_boundary,ideal,unrecoverable_control,hcw,no_gate,validated_violation,satisfied,0,0,0,0,0,0.0,0.0001220703125,26.56769302266322,26.568046438685695,26.56804643868546,0.2930687804574878,0.002303999999980988,2.0666979253292084e-05,{},1
outward_boundary,ideal,unrecoverable_control,hcw,original_gate,validated_violation,satisfied,0,0,300,0,0,0.0,0.0001220703125,26.56769302266322,26.568046438685695,26.56804643868546,0.2930687804574878,2.777840000000083,0.017894665943458676,{},1
outward_boundary,ideal,unrecoverable_control,nonlinear,controlled_in_band,validated_violation,satisfied,0,0,300,0,0,0.0,0.0001220703125,26.567693022699252,26.568046438722032,26.56804643868628,0.29306877933662745,1.4226769999998794,0.00805025000590831,{},1
outward_boundary,ideal,unrecoverable_control,nonlinear,controlled_union,validated_violation,satisfied,19,0,300,19,0,0.0,0.0001220703125,26.567693022699252,26.568046438722032,26.56804643868628,0.29306877933662745,1.4893169999999643,0.006776917027309537,{},1
outward_boundary,ideal,unrecoverable_control,nonlinear,no_gate,validated_violation,satisfied,0,0,0,0,0,0.0,0.0001220703125,26.567693022699252,26.568046438722032,26.56804643868628,0.29306877933662745,0.0033560000000392165,3.645801916718483e-05,{},1
outward_boundary,ideal,unrecoverable_control,nonlinear,original_gate,validated_violation,satisfied,0,0,300,0,0,0.0,0.0001220703125,26.567693022699252,26.568046438722032,26.56804643868628,0.29306877933662745,2.879808999999959,0.02663079195190221,{},1
